filename,year,month,day
DOD_1800_August_23.txt,1800,August,23
DOD_1800_August_26.txt,1800,August,26
DOD_1800_August_28.txt,1800,August,28
DOD_1800_August_31.txt,1800,August,31
DOD_1800_September_1.txt,1800,September,1
DOD_1800_September_2.txt,1800,September,2
DOD_1800_September_3.txt,1800,September,3
DOD_1800_September_9.txt,1800,September,9
DOD_1800_September_13.txt,1800,September,13
DOD_1800_September_15.txt,1800,September,15
DOD_1800_September_16.txt,1800,September,16
DOD_1800_September_17.txt,1800,September,17
DOD_1800_September_18.txt,1800,September,18
DOD_1800_September_29.txt,1800,September,29
DOD_1800_October_1.txt,1800,October,1
DOD_1800_October_2.txt,1800,October,2
DOD_1800_October_3.txt,1800,October,3
DOD_1800_October_4.txt,1800,October,4
DOD_1800_October_5.txt,1800,October,5
DOD_1800_October_6.txt,1800,October,6
DOD_1800_October_7.txt,1800,October,7
DOD_1800_October_10.txt,1800,October,10
DOD_1800_October_17.txt,1800,October,17
DOD_1800_October_21.txt,1800,October,21
DOD_1800_November_1.txt,1800,November,1
DOD_1800_November_3.txt,1800,November,3
DOD_1800_November_6.txt,1800,November,6
DOD_1800_November_9.txt,1800,November,9
DOD_1800_November_12.txt,1800,November,12
DOD_1800_November_14.txt,1800,November,14
DOD_1800_November_15.txt,1800,November,15
DOD_1800_November_17.txt,1800,November,17
DOD_1800_November_18.txt,1800,November,18
DOD_1800_November_20.txt,1800,November,20
DOD_1800_November_21.txt,1800,November,21
DOD_1800_November_22.txt,1800,November,22
DOD_1800_November_24.txt,1800,November,24
DOD_1800_November_25.txt,1800,November,25
DOD_1800_November_26.txt,1800,November,26
DOD_1800_November_28.txt,1800,November,28
DOD_1800_November_29.txt,1800,November,29
DOD_1800_December_2.txt,1800,December,2
DOD_1800_December_3.txt,1800,December,3
DOD_1800_December_8.txt,1800,December,8
DOD_1800_December_9.txt.,1800,December,9
DOD_1800_December_19.txt,1800,December,19
DOD_1800_December_22.txt,1800,December,22
DOD_1800_December_26.txt,1800,December,26
DOD_1800_December_30.txt,1800,December,30
DOD_1800_December_31.txt,1800,December,31
DOD_1801_January_1.txt,1801,January,1
DOD_1801_January_2.txt,1801,January,2
DOD_1801_January_5.txt,1801,January,5
DOD_1801_January_8.txt,1801,January,8
DOD_1801_January_9.txt,1801,January,9
DOD_1801_January_15.txt,1801,January,15
DOD_1801_January_16.txt,1801,January,16
DOD_1801_January_17.txt,1801,January,17
DOD_1802_December_29.txt,1802,December,29
DOD_1802_December_21.txt,1802,December,21
DOD_1803_January_1.txt,1803,January,1
DOD_1803_January_6.txt,1803,January,6
DOD_1803_January_11.txt,1803,January,11
DOD_1803_January_12.txt,1803,January,12
DOD_1803_January_13.txt,1803,January,13
DOD_1803_January_22.txt,1803,January,22
DOD_1803_January_31.txt,1803,January,31
DOD_1803_February_5.txt,1803,February,5
DOD_1803_February_7.txt,1803,February,7
DOD_1803_February_8.txt,1803,February,8
DOD_1803_February_12.txt,1803,February,12
DOD_1803_February_14.txt,1803,February,14
DOD_1803_February_15.txt,1803,February,15
DOD_1803_February_18.txt,1803,February,18
DOD_1803_February_21.txt,1803,February,21
DOD_1803_March_4.txt,1803,March,4
DOD_1803_March_8.txt,1803,March,8
DOD_1803_March_10.txt,1803,March,10
DOD_1803_March_21.txt,1803,March,21
DOD_1803_March_26.txt,1803,March,26
DOD_1803_April_6.txt,1803,April,6
DOD_1803_April_11.txt,1803,April,11
DOD_1803_April_13.txt,1803,April,13
DOD_1803_April_18.txt,1803,April,18
DOD_1803_May_13.txt,1803,May,13
DOD_1803_June_9.txt,1803,June,9
DOD_1803_June_15.txt,1803,June,15
DOD_1803_June_27.txt,1803,June,27
DOD_1803_July_23.txt,1803,July,23
DOD_1803_July_27.txt,1803,July,27
DOD_1803_July_28.txt,1803,July,28
DOD_1803_October_30.txt,1803,October,30
DOD_1803_November_2.txt,1803,November,2
DOD_1803_December_10.txt,1803,December,10
DOD_1803_December_23.txt,1803,December,23
DOD_1804_January_9.txt,1804,January,9
DOD_1804_January_19.txt,1804,January,19
DOD_1804_January_24.txt,1804,January,24
DOD_1804_January_31.txt,1804,January,31
DOD_1804_February_13.txt,1804,February,13
DOD_1804_February_24.txt,1804,February,24
DOD_1804_March_9.txt,1804,March,9
DOD_1804_March_31.txt,1804,March,31
DOD_1804_April_10.txt,1804,April,10
DOD_1804_April_17.txt,1804,April,17
DOD_1804_April_27.txt,1804,April,27
DOD_1804_May_23.txt,1804,May,23
DOD_1804_June_8.txt,1804,June,8
DOD_1804_June_11.txt,1804,June,11
DOD_1804_June_12.txt,1804,June,12
DOD_1804_June_26.txt,1804,June,26
DOD_1804_July_10.txt,1804,July,10
DOD_1804_July_27.txt,1804,July,27
DOD_1804_July_28.txt,1804,July,28
DOD_1804_July_30.txt,1804,July,30
DOD_1804_July_31.txt,1804,July,31
DOD_1804_August_1.txt,1804,August,1
DOD_1804_September_11.txt,1804,September,11
